"MSA.code","high_rank","students_num","school_count","school_list"
"13380",32,444,2," 32 | St. Paul's Academy <br/> 79 | Cornerstone Christian School <br/>"
"14740",16,221,2," 16 | West Sound Academy <br/> 81 | Burley Christian School <br/>"
"21260",54,379,1," 54 | Riverside Christian School <br/>"
"28420",41,451,2," 41 | Sunnyside Christian School <br/> 77 | Kingspoint Christian School <br/>"
"34180",52,160,1," 52 | Moses Lake Christian Academy <br/>"
"34580",62,320,1," 62 | Mount Vernon Christian School <br/>"
"36020",83,95,1," 83 | Island Christian Academy <br/>"
"36500",36,427,4," 36 | Northwest Christian High School <br/> 56 | Pope John Paul II High School <br/> 79 | Cornerstone Christian School <br/> 82 | Eagle View Christian School <br/>"
"38900",55,544,2," 55 | Columbia Adventist Academy <br/> 71 | Firm Foundation Christian School <br/>"
"39420",65,66,1," 65 | Pullman Christian School <br/>"
"42644",1,7676,23," 1 | Lakeside School <br/> 3 | The Bush School <br/> 6 | The Bear Creek School <br/> 9 | Eastside Preparatory School <br/> 12 | Holy Names Academy <br/> 20 | Bishop Blanchet High School <br/> 23 | Northwest Yeshiva High School <br/> 25 | Bellevue Christian School <br/> 26 | Shoreline Christian School <br/> 34 | O'Dea High School <br/> 35 | Seattle Waldorf School <br/> 40 | Christian Faith School <br/> 43 | Valley Christian School <br/> 49 | Chrysalis School <br/> 51 | Seattle Lutheran High School <br/> 59 | Grace Academy <br/> 63 | Hillside Student Community School <br/> 102 | Spring Academy <br/> 103 | Eastside Academy <br/> 104 | Puget Sound Community School <br/> 107 | New Horizon School <br/> 109 | Northwest Liberty School <br/> 115 | Seattle Urban Academy <br/>"
"44060",29,2040,6," 29 | Gonzaga Preparatory School <br/> 38 | Northwest Christian School <br/> 69 | St. Michael's Academy <br/> 74 | Upper Columbia Academy <br/> 92 | Christian Heritage School <br/> 116 | Deep Creek Hutterian School <br/>"
"45104",8,1861,4," 8 | Charles Wright Academy <br/> 15 | Bellarmine Preparatory School <br/> 30 | Evergreen Lutheran High School <br/> 125 | Harbor Christian Schools <br/>"
"47460",50,170,1," 50 | Walla Walla Valley Academy <br/>"
"48300",64,388,3," 64 | Cascade Christian Academy <br/> 68 | The River Academy <br/> 111 | Upper Valley Christian School <br/>"
"49420",41,866,3," 41 | Sunnyside Christian School <br/> 42 | La Salle High School <br/> 54 | Riverside Christian School <br/>"
